f_name,pic_url,rate,comm,url,address,b_time,geo_loc
古舕咖啡,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npS8SSizy-yCO8ZuloZNzxN94GZW-zdXr8ArBsr4cyGZAqUZ6PcaPGvS94blYVuKVLHxe3PLc58M9X79z3p6Mhu9Fox1VE0f5aTwlDeU6AqNWomvYK14gphDynXZsxHkJ8-H9Y=w122-h92-k-no,4.7,145,https://www.google.com.tw/maps/place/%E5%8F%A4%E8%88%95%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442ab1a7a5016b5:0x7b72516451d29c9f!8m2!3d25.0465302!4d121.5456723!16s%2Fg%2F11rw8_nc_r!19sChIJtRZQehqrQjQRn5zSUWRRcns?authuser=0&hl=zh-TW&rclk=1,105台北市松山區八德路二段366巷40弄7號,星期三、10:00 到 17:00; 星期四、10:00 到 17:00; 星期五、10:00 到 17:00; 星期六、10:00 到 17:00; 星期日、休息; 星期一、休息; 星期二、10:00 到 17:00. 隱藏本週營業時間,"25.0465302,121.5456723"
Ratio Coffee Roasters,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8p34fe06Dgt2tLBhgnKARuNa2jTWqcqQzrw2i0IfyL8gia7LOscMzRjb8wvKkvteGtJd2TX9VyffdYO-qJQ3KmX7t0durWbEdgz-XXvNPx11ws2J-sqhkuyhMQ_hLY-C4jil9rQ=w92-h92-k-no,4.5,810,https://www.google.com.tw/maps/place/Ratio+Coffee+Roasters/data=!4m7!3m6!1s0x3442abeb194c75b3:0xb53c6894f64c8eed!8m2!3d25.0434266!4d121.5480543!16s%2Fg%2F1pztd4krq!19sChIJs3VMGeurQjQR7Y5M9pRoPLU?authuser=0&hl=zh-TW&rclk=1,106台北市大安區敦化南路一段160巷10-6號,星期三、12:00 到 19:00; 星期四、11:00 到 20:00; 星期五、11:00 到 23:00; 星期六、11:00 到 23:00; 星期日、11:00 到 19:00; 星期一、12:00 到 18:00; 星期二、11:00 到 19:00. 隱藏本週營業時間,"25.0434266,121.5480543"
COFFEE LAW 敦南概念店 (不提供訂位服務）,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIJVc726mhf-Na1zsB2NIchROHfyjGdtWgookl8TIa0gl2l1x4Frezb7kmA2WqbuNvNkTX4ctYY68wVRtubtFqecCblGM0RQEDzy5wYwaFCIDFd7U5YVqGtWq6pF5h-zwskZ_J4A=w122-h92-k-no,4.8,"3,174",https://www.google.com.tw/maps/place/COFFEE+LAW+%E6%95%A6%E5%8D%97%E6%A6%82%E5%BF%B5%E5%BA%97+%28%E4%B8%8D%E6%8F%90%E4%BE%9B%E8%A8%82%E4%BD%8D%E6%9C%8D%E5%8B%99%EF%BC%89/data=!4m7!3m6!1s0x3442abb99cbdcf29:0xd12d650e9aa46fb2!8m2!3d25.0440579!4d121.5497421!16s%2Fg%2F11n_hqp0c_!19sChIJKc-9nLmrQjQRsm-kmg5lLdE?authuser=0&hl=zh-TW&rclk=1,106台北市大安區忠孝東路四段181巷40弄15號1樓,星期三、08:00 到 18:00; 星期四、08:00 到 18:00; 星期五、08:00 到 18:00; 星期六、08:00 到 18:00; 星期日、08:00 到 18:00; 星期一、08:00 到 18:00; 星期二、08:00 到 18:00. 隱藏本週營業時間,"25.0440579,121.5497421"
Balance Cafe Shop x Coffee Artisanal Roastery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVP8bo-MnZsGVbp0uZjtZft6dJ8QiHCZ9AbUQylMwEDXiqgl7NcZlLdbyFA1K5QIMbzja-B0Px-aCx7O19BKCEaeooriUFto8cxFV_Zqe2WemP3qSuNY_e3tLFu06iguMduumx=w122-h92-k-no,4.7,315,https://www.google.com.tw/maps/place/Balance+Cafe+Shop+x+Coffee+Artisanal+Roastery/data=!4m7!3m6!1s0x3442ac7d8d36e1ad:0x5c52fd2afd1044a2!8m2!3d25.0457095!4d121.5425355!16s%2Fg%2F1tp1wj1q!19sChIJreE2jX2sQjQRokQQ_Sr9Ulw?authuser=0&hl=zh-TW&rclk=1,,,"25.0457095,121.5425355"
Coffee Underwater,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFOlgGt0pfa7-5eq9SFWdtKMKq0JUUez_DlJcPy2WmuDdLKGRiy1ZdUuqIt_HhY2xitAMRQqWPxe2eJmPBKxWA2eAQ7y00bjjad5hpaUFNarkaDdglS1V_vNIpCqjbGz69S_TWYQ=w122-h92-k-no,4.7,653,https://www.google.com.tw/maps/place/Coffee+Underwater/data=!4m7!3m6!1s0x3442abfd4c2ffefd:0x6f897d2b3b805b4!8m2!3d25.0527704!4d121.540137!16s%2Fg%2F11fn2dfrrw!19sChIJ_f4vTP2rQjQRtAW4s9KX-AY?authuser=0&hl=zh-TW&rclk=1,104台北市中山區龍江路106巷4號,星期三、10:00 到 19:00; 星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00; 星期一、10:00 到 19:00; 星期二、10:00 到 19:00. 隱藏本週營業時間,"25.0527704,121.540137"
初二咖啡 Ao Tao Zu Café ||【不接受預約】,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4r40_YVufMyocDGiTU7KUT-ZkHYURdNbLYETPAEHanPi-ayIc7Gzg4Wk5axfqwPBHaGgqY7oGQ_IxyytmUyZl15vq-0J3peJimbPrUdYjQZULDQjL-WzPtmJVDt0_zNKYm1K8=w122-h92-k-no,4.5,366,https://www.google.com.tw/maps/place/%E5%88%9D%E4%BA%8C%E5%92%96%E5%95%A1+Ao+Tao+Zu+Caf%C3%A9+%7C%7C%E3%80%90%E4%B8%8D%E6%8E%A5%E5%8F%97%E9%A0%90%E7%B4%84%E3%80%91/data=!4m7!3m6!1s0x3442a9f5e5e3a627:0xd147581a0f774e8e!8m2!3d25.060509!4d121.5098167!16s%2Fg%2F11rxrmqdmn!19sChIJJ6bj5fWpQjQRjk53DxpYR9E?authuser=0&hl=zh-TW&rclk=1,103台北市大同區涼州街106號2樓,星期三、14:30 到 00:00; 星期四、14:30 到 00:00; 星期五、14:30 到 00:00; 星期六、14:30 到 00:00; 星期日、14:30 到 00:00; 星期一、14:30 到 00:00; 星期二、14:30 到 00:00. 隱藏本週營業時間,"25.060509,121.5098167"
蕨咖啡-台北大安東區咖啡廳/下午茶 手沖/日曬/水洗 花店/植物/花藝咖啡廳 拿鐵/黑咖啡/美式咖啡/卡布奇諾/義式咖啡 2025熱門打卡推薦 PTT Dcard,https://lh3.googleusercontent.com/p/AF1QipPVk2d7vtE_dAeJe0e13BoqWZiZPIGlgDvBeD7a=w122-h92-k-no,4.8,167,https://www.google.com.tw/maps/place/%E8%95%A8%E5%92%96%E5%95%A1-%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89%E6%9D%B1%E5%8D%80%E5%92%96%E5%95%A1%E5%BB%B3%2F%E4%B8%8B%E5%8D%88%E8%8C%B6+%E6%89%8B%E6%B2%96%2F%E6%97%A5%E6%9B%AC%2F%E6%B0%B4%E6%B4%97+%E8%8A%B1%E5%BA%97%2F%E6%A4%8D%E7%89%A9%2F%E8%8A%B1%E8%97%9D%E5%92%96%E5%95%A1%E5%BB%B3+%E6%8B%BF%E9%90%B5%2F%E9%BB%91%E5%92%96%E5%95%A1%2F%E7%BE%8E%E5%BC%8F%E5%92%96%E5%95%A1%2F%E5%8D%A1%E5%B8%83%E5%A5%87%E8%AB%BE%2F%E7%BE%A9%E5%BC%8F%E5%92%96%E5%95%A1+2025%E7%86%B1%E9%96%80%E6%89%93%E5%8D%A1%E6%8E%A8%E8%96%A6+PTT+Dcard/data=!4m7!3m6!1s0x3442abdc3ad31753:0x88747526e745ecaa!8m2!3d25.0404971!4d121.5541384!16s%2Fg%2F11t_lnrd9f!19sChIJUxfTOtyrQjQRquxF5yZ1dIg?authuser=0&hl=zh-TW&rclk=1,106台北市大安區忠孝東路四段248巷15之一號,星期三、12:00 到 19:00; 星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 00:00; 星期日、12:00 到 19:00; 星期一、休息; 星期二、12:00 到 19:00. 隱藏本週營業時間,"25.0404971,121.5541384"
Remember Me_記得我·Café -深夜咖啡·寵物友善,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFZ1Kpy6S0agySBD2x4LOR6R1fotc0PSDRUiC8Ic4AK28veC8KNaF6GrFxxyJglYpqCZTI1_6q8Dm7Vt6nMZ6szdvhekW329-wfEEUi_LSn7A_pthla1CUFgKNXuI60Lu4bhJ2hA=w92-h92-k-no,4.5,"3,060",https://www.google.com.tw/maps/place/Remember+Me_%E8%A8%98%E5%BE%97%E6%88%91%C2%B7Caf%C3%A9+-%E6%B7%B1%E5%A4%9C%E5%92%96%E5%95%A1%C2%B7%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/data=!4m7!3m6!1s0x3442abea2c8a3bf1:0x6abb2dee4dacb14a!8m2!3d25.052357!4d121.554531!16s%2Fg%2F11bt_j7q66!19sChIJ8TuKLOqrQjQRSrGsTe4tu2o?authuser=0&hl=zh-TW&rclk=1,105台北市松山區南京東路四段133巷4弄16號,星期三、12:00 到 02:00; 星期四、12:00 到 02:00; 星期五、12:00 到 02:00; 星期六、12:00 到 02:00; 星期日、12:00 到 22:00; 星期一、12:00 到 22:00; 星期二、12:00 到 02:00. 隱藏本週營業時間,"25.052357,121.554531"
Costumice Café,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrl-KjE_xH2E4u5YqfQNWoC7sdJWEkIXFbrlOoDpBE_3hPrqalZZpPtPFX3niqRgOdFTItGhyvEZpBArVfk92Uv9ChT_9yawztRAyllHLcX3-gWT-ASpclWL4jtKgXw_1AvJn5P=w122-h92-k-no,4.2,"1,293",https://www.google.com.tw/maps/place/Costumice+Caf%C3%A9/data=!4m7!3m6!1s0x3442abc46a8948f9:0x513ba16a14fc8453!8m2!3d25.0437923!4d121.5525167!16s%2Fg%2F12hln38y_!19sChIJ-UiJasSrQjQRU4T8FGqhO1E?authuser=0&hl=zh-TW&rclk=1,106台北市大安區忠孝東路四段223巷71弄6號1樓,星期三、12:00 到 00:00; 星期四、12:00 到 00:00; 星期五、12:00 到 01:00; 星期六、12:00 到 01:00; 星期日、12:00 到 00:00; 星期一、12:00 到 00:00; 星期二、12:00 到 00:00. 隱藏本週營業時間,"25.0437923,121.5525167"
Congrats Café,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZrTV1Oc2vqhXCl4MfuYzBq_XWB2jtAspSH5_MPnEqFDTr546AB5CVxgJauUTAqDC0cMWKUtW3Z-Hliu68LrtXZCsqFFpHnJbSr7djobnq4NF_uozbHOxGTX1ffwAuco_jbXen=w80-h106-k-no,4.4,"1,320",https://www.google.com.tw/maps/place/Congrats+Caf%C3%A9/data=!4m7!3m6!1s0x3442abcda5572b7b:0x34c1cf42f30f9caf!8m2!3d25.0329519!4d121.5505806!16s%2Fg%2F11cs613lv3!19sChIJeytXpc2rQjQRr5wP80LPwTQ?authuser=0&hl=zh-TW&rclk=1,106台北市大安區文昌街49號,星期三、09:00 到 22:00; 星期四、09:00 到 22:00; 星期五、09:00 到 22:00; 星期六、13:00 到 22:00; 星期日、13:00 到 22:00; 星期一、09:00 到 22:00; 星期二、09:00 到 22:00. 隱藏本週營業時間,"25.0329519,121.5505806"
