f_name,pic_url,rate,comm,url,address,b_time,geo_loc
問號咖啡 Why Coffee Bar,https://lh3.googleusercontent.com/p/AF1QipPZfhP4EYv7Uz-aBB3zt1ZBgX-GDd6MLg2UnYFk=w92-h92-k-no,4.7,201,https://www.google.com.tw/maps/place/%E5%95%8F%E8%99%9F%E5%92%96%E5%95%A1+Why+Coffee+Bar/data=!4m7!3m6!1s0x34683507cc6056d3:0xc8c940a2793b18a9!8m2!3d24.8034609!4d120.9801212!16s%2Fg%2F11kpf4xv68!19sChIJ01ZgzAc1aDQRqRg7eaJAycg?authuser=0&hl=zh-TW&rclk=1,300新竹市東區光復路二段960號,星期四、12:00 到 20:00; 星期五、12:00 到 20:00; 星期六、12:00 到 20:00; 星期日、12:00 到 20:00; 星期一、12:00 到 20:00; 星期二、12:00 到 20:00; 星期三、休息. 隱藏本週營業時間,"24.8034609,120.9801212"
吉十咖啡 CAFÉ GODSPEED(無使用谷歌，請透過IG聯絡）,https://lh3.googleusercontent.com/p/AF1QipNzJXXwE_pS8ZpidNBY69xI80mq-MSzSFPD97Ht=w122-h92-k-no,4.2,"1,277",https://www.google.com.tw/maps/place/%E5%90%89%E5%8D%81%E5%92%96%E5%95%A1+CAF%C3%89+GODSPEED%28%E7%84%A1%E4%BD%BF%E7%94%A8%E8%B0%B7%E6%AD%8C%EF%BC%8C%E8%AB%8B%E9%80%8F%E9%81%8EIG%E8%81%AF%E7%B5%A1%EF%BC%89/data=!4m7!3m6!1s0x3468351615d864a3:0xa902259e0811e200!8m2!3d24.8057731!4d120.96616!16s%2Fg%2F11fggmy_g9!19sChIJo2TYFRY1aDQRAOIRCJ4lAqk?authuser=0&hl=zh-TW&rclk=1,300新竹市北區北門街36號,星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00; 星期一、12:00 到 19:00; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.8057731,120.96616"
光粼 Shine Bright(營業時間請參考IG限動),https://lh3.googleusercontent.com/p/AF1QipN0MAaQwzYIdRzTlCPNjl6wZeoPJQcc-JFTmtCC=w122-h92-k-no,4.8,125,https://www.google.com.tw/maps/place/%E5%85%89%E7%B2%BC+Shine+Bright%28%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E8%AB%8B%E5%8F%83%E8%80%83IG%E9%99%90%E5%8B%95%29/data=!4m7!3m6!1s0x34683540d2490ed5:0xf7dc41ddeb0dd5a!8m2!3d24.8077307!4d120.9758381!16s%2Fg%2F11tsr51r5x!19sChIJ1Q5J0kA1aDQRWt2w3h3EfQ8?authuser=0&hl=zh-TW&rclk=1,300新竹市東區民權路96巷8號1樓,星期四、13:00 到 22:00; 星期五、13:00 到 00:00; 星期六、13:00 到 00:00; 星期日、13:00 到 00:00; 星期一、13:00 到 22:00; 星期二、13:00 到 22:00; 星期三、休息. 隱藏本週營業時間,"24.8077307,120.9758381"
昭日咖啡-新竹寵物友善餐廳|寵物餐廳|網美咖啡廳|人氣咖啡|熱門下午茶|網美下午茶,https://lh3.googleusercontent.com/p/AF1QipOv90RuWfALn2AS4KsEZRdFzxqejts2mL-nv2Fx=w122-h92-k-no,5.0,"1,909",https://www.google.com.tw/maps/place/%E6%98%AD%E6%97%A5%E5%92%96%E5%95%A1-%E6%96%B0%E7%AB%B9%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%E9%A4%90%E5%BB%B3%7C%E5%AF%B5%E7%89%A9%E9%A4%90%E5%BB%B3%7C%E7%B6%B2%E7%BE%8E%E5%92%96%E5%95%A1%E5%BB%B3%7C%E4%BA%BA%E6%B0%A3%E5%92%96%E5%95%A1%7C%E7%86%B1%E9%96%80%E4%B8%8B%E5%8D%88%E8%8C%B6%7C%E7%B6%B2%E7%BE%8E%E4%B8%8B%E5%8D%88%E8%8C%B6/data=!4m7!3m6!1s0x346835e219e7663d:0x18d56a29fdd597bc!8m2!3d24.8113769!4d120.9770765!16s%2Fg%2F11kpt4sdr0!19sChIJPWbnGeI1aDQRvJfV_Slq1Rg?authuser=0&hl=zh-TW&rclk=1,300新竹市東區民生路170巷13號,星期四、11:00 到 18:00; 星期五、11:00 到 18:00; 星期六、11:00 到 18:00; 星期日、11:00 到 18:00; 星期一、休息; 星期二、11:00 到 18:00; 星期三、11:00 到 18:00. 隱藏本週營業時間,"24.8113769,120.9770765"
somewhere cafe,https://lh3.googleusercontent.com/p/AF1QipPsneaYTd2ejQak-1zsDPD1-CMKn-_UIgfYdEz3=w80-h106-k-no,4.8,165,https://www.google.com.tw/maps/place/somewhere+cafe/data=!4m7!3m6!1s0x346835755af5c2e5:0x6aff6eba5ce1fbcb!8m2!3d24.8101773!4d120.9780491!16s%2Fg%2F11k58lrj6_!19sChIJ5cL1WnU1aDQRy_vhXLpu_2o?authuser=0&hl=zh-TW&rclk=1,30041新竹市東區中央路310號,星期四、11:00 到 17:00; 星期五、11:00 到 22:00; 星期六、11:00 到 22:00; 星期日、11:00 到 22:00; 星期一、11:00 到 22:00; 星期二、休息; 星期三、11:00 到 22:00. 隱藏本週營業時間,"24.8101773,120.9780491"
COVER CAFE,https://lh3.googleusercontent.com/p/AF1QipOEK3eWjgA6S2QeuS2PPKPkI1NVJdB8FWunsOeS=w122-h92-k-no,4.5,250,https://www.google.com.tw/maps/place/COVER+CAFE/data=!4m7!3m6!1s0x3468357e0fc9ec7f:0x8781cd4cf9973387!8m2!3d24.80239!4d120.9673546!16s%2Fg%2F11tjpx4_j8!19sChIJf-zJD341aDQRhzOX-UzNgYc?authuser=0&hl=zh-TW&rclk=1,300新竹市東區文昌街73號,星期四、12:00 到 18:00; 星期五、12:00 到 18:00; 星期六、12:00 到 18:00; 星期日、12:00 到 18:00; 星期一、12:00 到 18:00; 星期二、12:00 到 18:00; 星期三、12:00 到 18:00. 隱藏本週營業時間,"24.80239,120.9673546"
掬熙商行 G.C Brunch & Coffee,https://lh3.googleusercontent.com/p/AF1QipMFJPP06qhz6eBe8VzQ4sBB9nrukV68tWBqg0c5=w122-h92-k-no,4.7,722,https://www.google.com.tw/maps/place/%E6%8E%AC%E7%86%99%E5%95%86%E8%A1%8C+G.C+Brunch+%26+Coffee/data=!4m7!3m6!1s0x3468351897b42539:0xca6218ee2b1549fd!8m2!3d24.8084273!4d120.9704906!16s%2Fg%2F11kbfk7rql!19sChIJOSW0lxg1aDQR_UkVK-4YYso?authuser=0&hl=zh-TW&rclk=1,30042新竹市東區仁愛街78號,星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00; 星期一、09:00 到 17:00; 星期二、休息; 星期三、09:00 到 17:00. 隱藏本週營業時間,"24.8084273,120.9704906"
ARBAN COFFEE ✦ 阿爾班咖啡,https://lh3.googleusercontent.com/p/AF1QipNQWtC3LWgp6u1ehFxJgeUPTPR3FsY4u1ZLhF9q=w122-h92-k-no,5.0,43,https://www.google.com.tw/maps/place/ARBAN+COFFEE+%E2%9C%A6+%E9%98%BF%E7%88%BE%E7%8F%AD%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3468350000415ff5:0xe3936379a4207f1c!8m2!3d24.8106325!4d120.9720717!16s%2Fg%2F11w7cg6s92!19sChIJ9V9BAAA1aDQRHH8gpHljk-M?authuser=0&hl=zh-TW&rclk=1,300新竹市東區世界街12號,星期四、12:00 到 18:00; 星期五、12:00 到 18:00; 星期六、12:00 到 19:00; 星期日、休息; 星期一、休息; 星期二、休息; 星期三、12:00 到 18:00. 隱藏本週營業時間,"24.8106325,120.9720717"
波藤甜點,https://lh3.googleusercontent.com/p/AF1QipOuAaSijq_uM2-BS4BVjiDvsaM_j3X-qtByvjVX=w80-h106-k-no,4.9,89,https://www.google.com.tw/maps/place/%E6%B3%A2%E8%97%A4%E7%94%9C%E9%BB%9E/data=!4m7!3m6!1s0x346835ecb62f1e25:0x86d57201f603cd0b!8m2!3d24.8057377!4d120.9620891!16s%2Fg%2F11tggny19b!19sChIJJR4vtuw1aDQRC80D9gFy1YY?authuser=0&hl=zh-TW&rclk=1,300新竹市北區北大路323號,星期四、休息; 星期五、10:30 到 17:30; 星期六、10:30 到 17:30; 星期日、10:30 到 17:30; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.8057377,120.9620891"
井井咖啡廳,https://lh3.googleusercontent.com/p/AF1QipOg2zKBKfT_qHDgm5xSyZXkSkqLELs2OJyvOI4U=w122-h92-k-no,4.4,607,https://www.google.com.tw/maps/place/%E4%BA%95%E4%BA%95%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x346836740619a93f:0xb5b8eb42e35825f5!8m2!3d24.8016904!4d120.9966641!16s%2Fg%2F11b6z3j2wr!19sChIJP6kZBnQ2aDQR9SVY40LruLU?authuser=0&hl=zh-TW&rclk=1,300新竹市東區建功一路170號,星期四、12:00 到 19:30; 星期五、12:00 到 19:30; 星期六、12:00 到 19:30; 星期日、12:00 到 19:30; 星期一、12:00 到 19:30; 星期二、12:00 到 19:30; 星期三、12:00 到 19:30. 隱藏本週營業時間,"24.8016904,120.9966641"
