f_name,pic_url,rate,comm,url,address,b_time,geo_loc
冰藍沁禾咖啡館 BLCH Coffee Roasters（六、日、國定假日無訂位）,https://lh3.googleusercontent.com/p/AF1QipMoz4HKUduscrWP0nDtzQCA9Kb25-8DsBPuPgh4=w122-h92-k-no,4.9,313,https://www.google.com.tw/maps/place/%E5%86%B0%E8%97%8D%E6%B2%81%E7%A6%BE%E5%92%96%E5%95%A1%E9%A4%A8+BLCH+Coffee+Roasters%EF%BC%88%E5%85%AD%E3%80%81%E6%97%A5%E3%80%81%E5%9C%8B%E5%AE%9A%E5%81%87%E6%97%A5%E7%84%A1%E8%A8%82%E4%BD%8D%EF%BC%89/data=!4m7!3m6!1s0x3468373465ee23a7:0x207655e159e0c20c!8m2!3d24.8180887!4d121.0285393!16s%2Fg%2F11pd0tw7rk!19sChIJpyPuZTQ3aDQRDMLgWeFVdiA?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市嘉興路239之2號,星期四、休息; 星期五、10:30 到 18:30; 星期六、10:30 到 18:30; 星期日、10:30 到 18:30; 星期一、10:30 到 18:30; 星期二、10:30 到 18:30; 星期三、休息. 隱藏本週營業時間,"24.8180887,121.0285393"
WOOLI_CAFE,https://lh3.googleusercontent.com/p/AF1QipMnxFGMR3GQtZKtjpod_tCj_6ehSdJ2NjA-afus=w92-h92-k-no,4.7,305,https://www.google.com.tw/maps/place/WOOLI_CAFE/data=!4m7!3m6!1s0x346833fd23170429:0x5913a77729587d9d!8m2!3d24.872961!4d120.9854086!16s%2Fg%2F11gdh8wtzf!19sChIJKQQXI_0zaDQRnX1YKXenE1k?authuser=0&hl=zh-TW&rclk=1,304新竹縣新豐鄉康樂路一段416號,星期四、12:00 到 18:00; 星期五、12:00 到 18:00; 星期六、12:00 到 18:00; 星期日、12:00 到 18:00; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.872961,120.9854086"
輕鬆點咖啡,https://lh3.googleusercontent.com/p/AF1QipMlyei55d5CCRvFPKeLft3KX7GaOurECxFTceuF=w122-h92-k-no,4.2,400,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E9%BB%9E%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x346833f3bb096a17:0xad79ed1139978b81!8m2!3d24.8742102!4d120.9683394!16s%2Fg%2F11g6nl13xv!19sChIJF2oJu_MzaDQRgYuXORHtea0?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市302,星期四、08:00 到 18:00; 星期五、08:00 到 18:00; 星期六、08:00 到 18:00; 星期日、08:00 到 18:00; 星期一、08:00 到 18:00; 星期二、08:00 到 18:00; 星期三、08:00 到 18:00. 隱藏本週營業時間,"24.8742102,120.9683394"
W.H. Coffee,https://lh3.googleusercontent.com/p/AF1QipMRYWA4mvklv1k_wKTwszhdiovGdy966wTStZge=w122-h92-k-no,4.6,276,https://www.google.com.tw/maps/place/W.H.+Coffee/data=!4m7!3m6!1s0x346847550d9e78b9:0xac7f1ced053efe7!8m2!3d24.7343621!4d121.1690458!16s%2Fg%2F11ggt1d9js!19sChIJuXieDVVHaDQR5-9T0M7xxwo?authuser=0&hl=zh-TW&rclk=1,312新竹縣橫山鄉,星期四、11:00 到 17:00; 星期五、11:00 到 17:00; 星期六、11:00 到 17:00; 星期日、11:00 到 17:00; 星期一、休息; 星期二、11:00 到 17:00; 星期三、11:00 到 17:00. 隱藏本週營業時間,"24.7343621,121.1690458"
沙湖壢咖啡館,https://lh3.googleusercontent.com/p/AF1QipMg8mQzhnaL2HeANzt4i8J7CGvwxDRj2dOSNiIL=w138-h92-k-no,4.3,"2,019",https://www.google.com.tw/maps/place/%E6%B2%99%E6%B9%96%E5%A3%A2%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x34684830c7334663:0x5c2439e6e8304a5d!8m2!3d24.7499841!4d121.04472!16s%2Fg%2F1td9svry!19sChIJY0YzxzBIaDQRXUow6OY5JFw?authuser=0&hl=zh-TW&rclk=1,30845新竹縣寶山鄉山湖路63號,星期四、10:00 到 17:00; 星期五、10:00 到 17:00; 星期六、10:00 到 17:00; 星期日、10:00 到 17:00; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.7499841,121.04472"
HWC黑沃咖啡 新竹遠東店,https://lh3.googleusercontent.com/p/AF1QipM6l-jKaBjqlzrZjM1Mm18UtXCxlroiWEwiYH1V=w122-h92-k-no,4.9,149,https://www.google.com.tw/maps/place/HWC%E9%BB%91%E6%B2%83%E5%92%96%E5%95%A1+%E6%96%B0%E7%AB%B9%E9%81%A0%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x346837d747fac5d5:0xc6f5450881496edc!8m2!3d24.8252445!4d121.0573227!16s%2Fg%2F11f6fzgw3z!19sChIJ1cX6R9c3aDQR3G5JgQhF9cY?authuser=0&hl=zh-TW&rclk=1,305新竹縣新埔鎮文山路亞東段369號,星期四、07:00 到 18:00; 星期五、07:00 到 18:00; 星期六、休息; 星期日、休息; 星期一、07:00 到 18:00; 星期二、07:00 到 18:00; 星期三、07:00 到 18:00. 隱藏本週營業時間,"24.8252445,121.0573227"
go to coffee 熟成咖啡專門店,https://lh3.googleusercontent.com/p/AF1QipMBVEh_L3Rpi2ZHHLZqw5ZtlhaVmONon2xgx8-T=w92-h92-k-no,4.9,61,https://www.google.com.tw/maps/place/go+to+coffee+%E7%86%9F%E6%88%90%E5%92%96%E5%95%A1%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x346837f454624a41:0x478986f4c7c4c235!8m2!3d24.8211951!4d121.0095498!16s%2Fg%2F11kjf0d3_n!19sChIJQUpiVPQ3aDQRNcLEx_SGiUc?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市科大一路128號go to coffee,星期四、休息; 星期五、07:00 到 16:30; 星期六、19:30 到 02:00; 星期日、07:00 到 16:45; 星期一、07:00 到 17:00; 星期二、12:00 到 16:00; 星期三、07:00 到 11:30. 隱藏本週營業時間,"24.8211951,121.0095498"
竹東莫內咖啡,https://lh3.googleusercontent.com/p/AF1QipOxJIG5gAQij5ruJjxE2SZeJW-3h2iSUryLSVjJ=w122-h92-k-no,3.9,"2,174",https://www.google.com.tw/maps/place/%E7%AB%B9%E6%9D%B1%E8%8E%AB%E5%85%A7%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3468487906cdbb71:0xc9995c055e3e7db1!8m2!3d24.7189693!4d121.0746002!16s%2Fg%2F11c43qf9rp!19sChIJcbvNBnlIaDQRsX0-XgVcmck?authuser=0&hl=zh-TW&rclk=1,310新竹縣竹東鎮中豐路三段557號,星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、08:00 到 20:00; 星期日、08:00 到 20:00; 星期一、10:00 到 19:00; 星期二、10:00 到 19:00; 星期三、10:00 到 19:00. 隱藏本週營業時間,"24.7189693,121.0746002"
風情萬景咖啡屋,https://lh3.googleusercontent.com/p/AF1QipO_5YC9cvzrC27q5U3n_rTJr8_kRCTbC910kmqi=w122-h92-k-no,4.3,460,https://www.google.com.tw/maps/place/%E9%A2%A8%E6%83%85%E8%90%AC%E6%99%AF%E5%92%96%E5%95%A1%E5%B1%8B/data=!4m7!3m6!1s0x3468386452e6bd1d:0x18640c01032864e8!8m2!3d24.7617545!4d121.1166946!16s%2Fg%2F11c54_xwcn!19sChIJHb3mUmQ4aDQR6GQoAwEMZBg?authuser=0&hl=zh-TW&rclk=1,307新竹縣芎林鄉Unnamed Road307號,星期四、休息; 星期五、休息; 星期六、07:00 到 17:00; 星期日、07:00 到 17:00; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.7617545,121.1166946"
花院子,https://lh3.googleusercontent.com/p/AF1QipMNcLVQsNNa7uxbfAuPLk8cGDzGvLKLxS3JApFC=w80-h106-k-no,4.4,527,https://www.google.com.tw/maps/place/%E8%8A%B1%E9%99%A2%E5%AD%90/data=!4m7!3m6!1s0x34683723b282d727:0x9de9d2140fb8707c!8m2!3d24.8119308!4d121.0230312!16s%2Fg%2F11g0h_591w!19sChIJJ9eCsiM3aDQRfHC4DxTS6Z0?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市六家五路一段1號,星期四、09:30 到 17:30; 星期五、09:30 到 17:30; 星期六、休息; 星期日、休息; 星期一、09:30 到 17:30; 星期二、09:30 到 17:30; 星期三、09:30 到 17:30. 隱藏本週營業時間,"24.8119308,121.0230312"
